2025-01-15 16:21:26 | INFO | __main__ | Updated stock prices saved to data/stock_prices/hdfcbank_historical_prices.json
2025-01-15 16:21:26 | INFO | __main__ | Fetching historical prices for WIPRO from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:26 | INFO | __main__ | Fetching prices for WIPRO from 15-01-2025 to 15-01-2025
2025-01-15 16:21:28 | INFO | __main__ | Updated stock prices saved to data/stock_prices/wipro_historical_prices.json
2025-01-15 16:21:28 | INFO | __main__ | Fetching historical prices for NAUKRI from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:28 | INFO | __main__ | Fetching prices for NAUKRI from 15-01-2025 to 15-01-2025
2025-01-15 16:21:30 | INFO | __main__ | Updated stock prices saved to data/stock_prices/naukri_historical_prices.json
2025-01-15 16:21:30 | INFO | __main__ | Fetching historical prices for ICICIBANK from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:30 | INFO | __main__ | Fetching prices for ICICIBANK from 15-01-2025 to 15-01-2025
2025-01-15 16:21:31 | INFO | __main__ | Updated stock prices saved to data/stock_prices/icicibank_historical_prices.json
2025-01-15 16:21:31 | INFO | __main__ | Fetching historical prices for ADANIENT from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:31 | INFO | __main__ | Fetching prices for ADANIENT from 15-01-2025 to 15-01-2025
2025-01-15 16:21:34 | INFO | __main__ | Updated stock prices saved to data/stock_prices/adanient_historical_prices.json
2025-01-15 16:21:34 | INFO | __main__ | Fetching historical prices for PNB from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:34 | INFO | __main__ | Fetching prices for PNB from 15-01-2025 to 15-01-2025
2025-01-15 16:21:36 | INFO | __main__ | Updated stock prices saved to data/stock_prices/pnb_historical_prices.json
2025-01-15 16:21:36 | INFO | __main__ | Fetching historical prices for JINDALSTEL from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:36 | INFO | __main__ | Fetching prices for JINDALSTEL from 15-01-2025 to 15-01-2025
2025-01-15 16:21:39 | INFO | __main__ | Updated stock prices saved to data/stock_prices/jindalstel_historical_prices.json
2025-01-15 16:21:39 | INFO | __main__ | Fetching historical prices for TATASTEEL from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:39 | INFO | __main__ | Fetching prices for TATASTEEL from 15-01-2025 to 15-01-2025
2025-01-15 16:21:41 | INFO | __main__ | Updated stock prices saved to data/stock_prices/tatasteel_historical_prices.json
2025-01-15 16:21:41 | INFO | __main__ | Fetching historical prices for DRREDDY from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:41 | INFO | __main__ | Fetching prices for DRREDDY from 15-01-2025 to 15-01-2025
2025-01-15 16:21:42 | INFO | __main__ | Updated stock prices saved to data/stock_prices/drreddy_historical_prices.json
2025-01-15 16:21:42 | INFO | __main__ | Fetching historical prices for PIDILITIND from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:42 | INFO | __main__ | Fetching prices for PIDILITIND from 15-01-2025 to 15-01-2025
2025-01-15 16:21:44 | INFO | __main__ | Updated stock prices saved to data/stock_prices/pidilitind_historical_prices.json
2025-01-15 16:21:44 | INFO | __main__ | Fetching historical prices for NESTLEIND from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:44 | INFO | __main__ | Fetching prices for NESTLEIND from 15-01-2025 to 15-01-2025
2025-01-15 16:21:46 | INFO | __main__ | Updated stock prices saved to data/stock_prices/nestleind_historical_prices.json
2025-01-15 16:21:46 | INFO | __main__ | Fetching historical prices for ASIANPAINT from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:46 | INFO | __main__ | Fetching prices for ASIANPAINT from 15-01-2025 to 15-01-2025
2025-01-15 16:21:48 | INFO | __main__ | Updated stock prices saved to data/stock_prices/asianpaint_historical_prices.json
2025-01-15 16:21:48 | INFO | __main__ | Fetching historical prices for BOSCHLTD from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:48 | INFO | __main__ | Fetching prices for BOSCHLTD from 15-01-2025 to 15-01-2025
2025-01-15 16:21:49 | INFO | __main__ | Updated stock prices saved to data/stock_prices/boschltd_historical_prices.json
2025-01-15 16:21:49 | INFO | __main__ | Fetching historical prices for BAJAJ-AUTO from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:49 | INFO | __main__ | Fetching prices for BAJAJ-AUTO from 15-01-2025 to 15-01-2025
2025-01-15 16:21:52 | INFO | __main__ | Updated stock prices saved to data/stock_prices/bajaj-auto_historical_prices.json
2025-01-15 16:21:52 | INFO | __main__ | Fetching historical prices for SIEMENS from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:52 | INFO | __main__ | Fetching prices for SIEMENS from 15-01-2025 to 15-01-2025
2025-01-15 16:21:53 | INFO | __main__ | Updated stock prices saved to data/stock_prices/siemens_historical_prices.json
2025-01-15 16:21:53 | INFO | __main__ | Fetching historical prices for SUNPHARMA from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:53 | INFO | __main__ | Fetching prices for SUNPHARMA from 15-01-2025 to 15-01-2025
2025-01-15 16:21:55 | INFO | __main__ | Updated stock prices saved to data/stock_prices/sunpharma_historical_prices.json
2025-01-15 16:21:55 | INFO | __main__ | Fetching historical prices for BEL from 15-01-2025 to 15-01-2025 in 1-year chunks.
2025-01-15 16:21:55 | INFO | __main__ | Fetching prices for BEL from 15-01-2025 to 15-01-2025
